entry_time,exit_time,direction,entry,exit,pnl,signal_type,hold_minutes,snap_bi_count,snap_pivot_count,snap_k_lines_count,snap_last_pivot_zg,snap_last_pivot_zd,snap_last_pivot_end_bi,snap_bi_since_pivot,snap_price_vs_pivot,snap_bi_n1_type,snap_bi_n1_price,snap_bi_n2_type,snap_bi_n2_price,snap_bi_n3_type,snap_bi_n3_price,snap_atr,snap_atr_pct,snap_diff_15m,snap_dea_15m
2021-08-16 21:36:00,2021-08-16 22:04:00,-1,8332.0,8389.0,-57.0,2S,28,7,4,70,8388.0,8356.0,6,0,inside,top,8388.0,bottom,8284.0,top,8416.0,,,,
2021-08-17 10:56:00,2021-08-17 14:43:00,1,8472.0,8425.0,-47.0,3B,227,8,4,100,8388.0,8356.0,6,1,above,bottom,8426.0,top,8486.0,bottom,8284.0,,,,
2021-08-17 22:16:00,2021-08-17 22:27:00,-1,8350.0,8377.0,-27.0,3S,11,13,8,133,8500.0,8464.0,11,1,below,top,8376.0,bottom,8314.0,top,8500.0,,,,
2021-08-18 13:51:00,2021-08-19 09:15:00,-1,8166.0,8123.571428571428,42.42857142857156,3S,1164,15,9,161,8398.0,8314.0,13,1,below,top,8200.0,bottom,8082.0,top,8398.0,,,,
2021-08-19 13:31:00,2021-08-19 21:00:00,1,8200.0,8110.0,-90.0,3B,449,22,15,210,8136.0,8090.0,20,1,above,bottom,8168.0,top,8262.0,bottom,8088.0,,,,
2021-08-20 09:26:00,2021-08-20 10:06:00,-1,8020.0,8039.0,-19.0,3S,40,25,17,244,8240.0,8168.0,23,1,below,top,8038.0,bottom,7932.0,top,8240.0,,,,
2021-08-20 13:46:00,2021-08-20 14:38:00,1,8102.0,8073.0,-29.0,3B,52,28,19,263,8038.0,7990.0,26,1,above,bottom,8074.0,top,8126.0,bottom,7990.0,,,,
2021-08-23 22:06:00,2021-08-23 22:14:00,1,8110.0,8079.0,-31.0,2B,8,34,25,336,8120.0,8080.0,33,0,inside,bottom,8080.0,top,8192.0,bottom,7836.0,,,,
2021-08-25 09:21:00,2021-08-25 10:08:00,1,8230.0,8205.0,-25.0,3B,47,38,28,398,8106.0,8050.0,36,1,above,bottom,8206.0,top,8314.0,bottom,8050.0,,,,
2021-08-25 10:08:00,2021-08-25 13:30:00,-1,8212.0,8247.0,-35.0,2S,202,39,29,404,8246.0,8206.0,38,0,inside,top,8246.0,bottom,8206.0,top,8314.0,,,,
2021-08-25 22:36:00,2021-08-25 22:53:00,1,8376.0,8347.0,-29.0,3B,17,42,31,442,8246.0,8206.0,40,1,above,bottom,8348.0,top,8446.0,bottom,8184.0,,,,
2021-08-26 09:36:00,2021-08-26 09:51:00,-1,8336.0,8361.0,-25.0,2S,15,43,32,452,8360.0,8324.0,42,0,inside,top,8360.0,bottom,8324.0,top,8446.0,,,,
2021-08-26 11:21:00,2021-08-26 13:51:00,-1,8310.0,8331.0,-21.0,2S,150,45,34,467,8330.0,8324.0,44,0,inside,top,8330.0,bottom,8274.0,top,8364.0,,,,
2021-08-26 21:28:00,2021-08-26 22:01:00,-1,8286.0,8325.0,-39.0,2S,33,47,36,487,8324.0,8274.0,46,0,inside,top,8324.0,bottom,8216.0,top,8338.0,,,,
2021-08-27 09:56:00,2021-08-27 11:03:00,-1,8230.0,8277.0,-47.0,2S,67,51,40,510,8276.0,8264.0,50,0,inside,top,8276.0,bottom,8122.0,top,8330.0,,,,
2021-08-27 14:06:00,2021-08-27 14:09:00,1,8314.0,8295.0,-19.0,3B,3,54,42,529,8276.0,8192.0,52,1,above,bottom,8296.0,top,8346.0,bottom,8192.0,,,,
2021-08-30 13:51:00,2021-08-30 22:48:00,-1,8226.0,8212.857142857143,13.142857142856883,2S,537,59,47,580,8272.0,8254.0,58,0,inside,top,8272.0,bottom,8190.0,top,8418.0,,,,
2021-08-30 22:48:00,2021-08-31 09:00:00,-1,8208.0,8223.0,-15.0,2S,612,62,50,603,8250.0,8186.0,61,0,below,bottom,8134.0,top,8250.0,bottom,8186.0,,,,
2021-08-31 14:16:00,2021-08-31 21:00:00,1,8296.0,8246.0,-50.0,3B,404,64,51,628,8238.0,8186.0,62,1,above,bottom,8264.0,top,8326.0,bottom,8134.0,,,,
