contract,params,pnl,trades,win_pct,maxdd,avg_pnl,profit_factor
P2201,BASE,-1229,134,25.4,1175,-9.2,0.63
P2201,BEST,-885,133,26.3,1140,-6.7,0.75
P2205,BASE,1563,134,30.6,1086,11.7,1.38
P2205,BEST,1685,130,34.6,1290,13.0,1.38
P2401,BASE,-614,129,27.1,608,-4.8,0.69
P2401,BEST,-621,130,28.5,642,-4.8,0.71
P2405,BASE,457,142,33.8,263,3.2,1.27
P2405,BEST,212,141,34.0,459,1.5,1.11
P2505,BASE,976,89,39.3,358,11.0,1.89
P2505,BEST,967,91,39.6,422,10.6,1.76
P2509,BASE,1185,182,32.4,465,6.5,1.51
P2509,BEST,1666,179,34.1,464,9.3,1.71
P2601,BASE,1450,131,38.2,226,11.1,1.93
P2601,BEST,1477,127,40.9,254,11.6,1.96
