entry_time,exit_time,direction,entry,exit,pnl,signal_type,hold_minutes,snap_bi_count,snap_pivot_count,snap_k_lines_count,snap_last_pivot_zg,snap_last_pivot_zd,snap_last_pivot_end_bi,snap_bi_since_pivot,snap_price_vs_pivot,snap_bi_n1_type,snap_bi_n1_price,snap_bi_n2_type,snap_bi_n2_price,snap_bi_n3_type,snap_bi_n3_price,snap_atr,snap_atr_pct,snap_diff_15m,snap_dea_15m
2025-07-02 10:06:00,2025-07-03 09:13:00,1,8378.0,8488.857142857143,110.85714285714312,3B,1387,6,2,57,8364.0,8328.0,4,1,above,bottom,8368.0,top,8404.0,bottom,8328.0,,,,
2025-07-03 09:13:00,2025-07-03 09:46:00,1,8494.0,8465.0,-29.0,3B,33,9,4,91,8486.0,8466.0,8,0,above,top,8518.0,bottom,8466.0,top,8486.0,,,,
2025-07-03 13:36:00,2025-07-03 14:19:00,-1,8470.0,8483.0,-13.0,2S,43,11,6,106,8482.0,8466.0,10,0,inside,top,8482.0,bottom,8458.0,top,8518.0,,,,
2025-07-03 22:21:00,2025-07-03 22:33:00,1,8524.0,8513.0,-11.0,3B,12,14,8,127,8482.0,8472.0,12,1,above,bottom,8514.0,top,8552.0,bottom,8472.0,,,,
2025-07-04 22:16:00,2025-07-04 22:58:00,-1,8452.0,8467.0,-15.0,2S,42,19,13,169,8466.0,8448.0,18,0,inside,top,8466.0,bottom,8434.0,top,8474.0,,,,
2025-07-07 10:11:00,2025-07-07 11:06:00,-1,8456.0,8467.0,-11.0,2S,55,21,15,186,8466.0,8436.0,20,0,inside,top,8466.0,bottom,8436.0,top,8488.0,,,,
2025-07-07 13:51:00,2025-07-08 15:00:00,1,8478.0,8626.857142857143,148.85714285714312,2B,1509,24,18,198,8466.0,8460.0,23,0,inside,bottom,8460.0,top,8482.0,bottom,8424.0,,,,
2025-07-08 15:00:00,2025-07-09 13:31:00,1,8630.0,8632.0,2.0,3B,1351,27,20,245,8510.0,8478.0,26,0,above,top,8634.0,bottom,8478.0,top,8510.0,15.428571428571429,0.94,38.83147330184511,27.622080567245426
2025-07-09 13:31:00,2025-07-10 09:06:00,-1,8636.0,8612.0,24.0,2S,1175,30,22,269,8660.0,8626.0,29,0,inside,bottom,8626.0,top,8660.0,bottom,8608.0,,,,
2025-07-10 14:31:00,2025-07-10 21:01:00,1,8616.0,8594.0,-22.0,2B,390,38,29,319,8614.0,8606.0,37,0,inside,bottom,8606.0,top,8650.0,bottom,8568.0,,,,
2025-07-10 22:46:00,2025-07-11 09:29:00,-1,8616.0,8629.0,-13.0,2S,643,39,30,334,8628.0,8572.0,38,0,inside,top,8628.0,bottom,8572.0,top,8650.0,,,,
2025-07-11 09:29:00,2025-07-11 11:10:00,1,8622.0,8709.714285714286,87.71428571428623,2B,101,40,31,341,8628.0,8600.0,39,0,inside,bottom,8600.0,top,8628.0,bottom,8572.0,,,,
2025-07-11 14:42:00,2025-07-11 21:05:00,-1,8668.0,8685.0,-17.0,2S,383,43,33,367,8684.0,8654.0,42,0,inside,top,8684.0,bottom,8654.0,top,8774.0,,,,
2025-07-11 21:56:00,2025-07-11 22:22:00,-1,8660.0,8679.0,-19.0,2S,26,45,35,379,8678.0,8654.0,44,0,inside,top,8678.0,bottom,8642.0,top,8684.0,,,,
2025-07-14 09:51:00,2025-07-14 10:54:00,-1,8652.0,8671.0,-19.0,2S,63,47,37,394,8670.0,8642.0,46,0,inside,top,8670.0,bottom,8618.0,top,8692.0,,,,
2025-07-14 14:21:00,2025-07-15 09:01:00,1,8706.0,8731.0,25.0,3B,1120,50,39,414,8670.0,8640.0,48,1,above,bottom,8692.0,top,8724.0,bottom,8640.0,,,,
2025-07-15 09:56:00,2025-07-15 22:35:00,-1,8742.0,8678.714285714286,63.285714285713766,2S,759,53,41,441,8762.0,8716.0,52,0,inside,top,8762.0,bottom,8716.0,top,8770.0,,,,
2025-07-15 22:35:00,2025-07-16 09:01:00,-1,8678.0,8699.0,-21.0,3S,626,56,43,473,8698.0,8668.0,55,0,below,bottom,8644.0,top,8698.0,bottom,8668.0,10.142857142857142,0.165,-12.20449779412229,-6.751750804464507
2025-07-16 11:11:00,2025-07-16 14:09:00,1,8714.0,8701.0,-13.0,3B,178,58,44,493,8698.0,8668.0,56,1,above,bottom,8702.0,top,8748.0,bottom,8644.0,,,,
2025-07-16 22:11:00,2025-07-16 22:31:00,1,8726.0,8711.0,-15.0,2B,20,62,48,519,8738.0,8712.0,61,0,inside,bottom,8712.0,top,8742.0,bottom,8698.0,,,,
2025-07-17 10:46:00,2025-07-18 10:02:00,1,8732.0,8880.285714285714,148.28571428571377,2B,1396,64,50,537,8742.0,8710.0,63,0,inside,bottom,8710.0,top,8764.0,bottom,8700.0,,,,
2025-07-18 10:02:00,2025-07-18 21:24:00,1,8882.0,8906.142857142857,24.142857142856883,3B,682,67,52,576,8804.0,8766.0,66,0,above,top,8924.0,bottom,8766.0,top,8804.0,,,,
2025-07-18 21:24:00,2025-07-21 09:01:00,1,8910.0,8950.0,40.0,3B,3577,71,55,608,8904.0,8866.0,70,0,above,top,8952.0,bottom,8860.0,top,8904.0,,,,
2025-07-21 22:17:00,2025-07-21 22:32:00,-1,8852.0,8868.0,-16.0,3S,15,77,58,662,8926.0,8892.0,75,1,below,top,8866.0,bottom,8826.0,top,8926.0,,,,
2025-07-22 09:56:00,2025-07-22 10:01:00,1,8926.0,8911.0,-15.0,2B,5,78,59,675,8926.0,8912.0,77,0,inside,bottom,8912.0,top,8950.0,bottom,8826.0,,,,
2025-07-22 14:41:00,2025-07-22 14:53:00,-1,8890.0,8901.0,-11.0,2S,12,81,62,696,8900.0,8890.0,80,0,inside,top,8900.0,bottom,8852.0,top,8964.0,,,,
2025-07-23 10:01:00,2025-07-23 13:45:00,1,8938.0,8970.714285714286,32.714285714286234,2B,224,84,65,721,8922.0,8908.0,83,0,inside,bottom,8908.0,top,9006.0,bottom,8882.0,,,,
2025-07-23 21:26:00,2025-07-23 21:34:00,-1,8992.0,9013.0,-21.0,2S,8,87,68,746,9012.0,8950.0,86,0,inside,top,9012.0,bottom,8950.0,top,9056.0,,,,
2025-07-24 09:56:00,2025-07-24 13:33:00,-1,8990.0,9009.0,-19.0,2S,217,89,70,765,9008.0,8950.0,88,0,inside,top,9008.0,bottom,8920.0,top,9016.0,,,,
2025-07-24 21:21:00,2025-07-24 22:06:00,1,9032.0,8989.0,-43.0,2B,45,92,73,793,9008.0,8990.0,91,0,inside,bottom,8990.0,top,9074.0,bottom,8974.0,,,,
2025-07-25 14:46:00,2025-07-25 21:01:00,-1,8934.0,8945.0,-11.0,3S,375,95,75,837,9028.0,9008.0,93,1,below,top,8944.0,bottom,8884.0,top,9028.0,,,,
2025-07-28 13:36:00,2025-07-29 09:07:00,1,8920.0,8885.0,-35.0,2B,1171,98,78,875,8940.0,8886.0,97,0,inside,bottom,8886.0,top,8940.0,bottom,8814.0,,,,
2025-07-29 11:06:00,2025-07-29 11:23:00,-1,8872.0,8897.0,-25.0,3S,17,105,84,918,8944.0,8928.0,103,1,below,top,8896.0,bottom,8850.0,top,8944.0,,,,
2025-07-29 14:46:00,2025-07-30 09:10:00,1,8970.0,9001.285714285714,31.285714285713766,3B,1104,106,84,934,8944.0,8928.0,103,2,above,bottom,8958.0,top,8992.0,bottom,8850.0,,,,
2025-07-30 10:41:00,2025-07-30 10:51:00,-1,8986.0,9013.0,-27.0,2S,10,109,87,957,9012.0,8958.0,108,0,inside,top,9012.0,bottom,8958.0,top,9042.0,,,,
2025-07-30 21:06:00,2025-07-31 11:02:00,-1,8968.0,8932.142857142857,35.85714285714312,2S,836,111,89,974,8992.0,8966.0,110,0,inside,top,8992.0,bottom,8966.0,top,9018.0,,,,
2025-07-31 11:02:00,2025-07-31 22:00:00,-1,8928.0,8919.42857142857,8.571428571429351,2S,658,114,92,1009,8980.0,8932.0,113,0,below,bottom,8884.0,top,8980.0,bottom,8932.0,,,,
2025-08-01 21:21:00,2025-08-01 21:33:00,1,8916.0,8893.0,-23.0,2B,12,120,98,1060,8950.0,8894.0,119,0,inside,bottom,8894.0,top,8964.0,bottom,8868.0,,,,
2025-08-01 22:46:00,2025-08-04 11:09:00,-1,8820.0,8819.285714285714,0.714285714286234,3S,3623,121,98,1070,8950.0,8894.0,119,1,below,top,8830.0,bottom,8790.0,top,8964.0,,,,
2025-08-04 21:11:00,2025-08-05 21:16:00,1,8822.0,9018.42857142857,196.42857142857065,2B,1445,124,101,1098,8830.0,8800.0,123,0,inside,bottom,8800.0,top,8848.0,bottom,8774.0,,,,
2025-08-05 21:16:00,2025-08-08 09:20:00,1,9022.0,9027.42857142857,5.428571428570649,3B,3604,127,103,1148,8908.0,8880.0,126,0,above,top,9060.0,bottom,8880.0,top,8908.0,,,,
2025-08-08 10:37:00,2025-08-08 14:13:00,1,9020.0,9024.714285714286,4.714285714286234,3B,216,140,113,1256,8978.0,8962.0,138,1,above,bottom,9006.0,top,9066.0,bottom,8962.0,,,,
2025-08-08 22:11:00,2025-08-11 10:45:00,-1,9004.0,9027.0,-23.0,2S,3634,143,116,1285,9026.0,9006.0,142,0,inside,top,9026.0,bottom,8976.0,top,9068.0,,,,
2025-08-11 11:21:00,2025-08-12 21:01:00,1,9030.0,9378.0,348.0,2B,2020,146,119,1306,9026.0,9020.0,145,0,inside,bottom,9020.0,top,9042.0,bottom,8944.0,,,,
2025-08-12 21:01:00,2025-08-13 10:11:00,1,9378.0,9479.57142857143,101.57142857142935,3B,790,149,121,1359,9306.0,9264.0,148,0,above,top,9432.0,bottom,9264.0,top,9306.0,,,,
2025-08-13 11:21:00,2025-08-13 13:31:00,-1,9476.0,9504.0,-28.0,2S,130,153,123,1394,9490.0,9452.0,152,0,inside,top,9490.0,bottom,9452.0,top,9540.0,,,,
2025-08-13 22:51:00,2025-08-14 09:06:00,-1,9490.0,9513.0,-23.0,2S,615,155,125,1419,9512.0,9462.0,154,0,inside,top,9512.0,bottom,9462.0,top,9518.0,,,,
2025-08-14 14:56:00,2025-08-14 21:08:00,-1,9374.0,9395.0,-21.0,3S,372,157,126,1455,9518.0,9462.0,155,1,below,top,9394.0,bottom,9350.0,top,9538.0,,,,
2025-08-15 13:31:00,2025-08-18 09:01:00,1,9396.0,9620.57142857143,224.57142857142935,2B,4050,160,129,1486,9412.0,9368.0,159,0,inside,bottom,9368.0,top,9416.0,bottom,9338.0,,,,
2025-08-18 09:01:00,2025-08-19 13:47:00,1,9648.0,9670.42857142857,22.42857142857065,3B,1726,163,131,1515,9484.0,9456.0,162,0,above,top,9634.0,bottom,9456.0,top,9484.0,,,,
2025-08-19 14:51:00,2025-08-20 13:47:00,-1,9652.0,9515.57142857143,136.42857142857065,3S,1376,173,138,1590,9734.0,9690.0,171,1,below,top,9664.0,bottom,9632.0,top,9734.0,,,,
2025-08-20 13:47:00,2025-08-20 13:49:00,-1,9506.0,9527.0,-21.0,3S,2,176,140,1621,9526.0,9490.0,175,0,below,bottom,9456.0,top,9526.0,bottom,9490.0,,,,
2025-08-20 14:56:00,2025-08-20 21:01:00,1,9556.0,9533.0,-23.0,3B,365,178,141,1630,9526.0,9490.0,176,1,above,bottom,9534.0,top,9554.0,bottom,9456.0,,,,
2025-08-21 21:46:00,2025-08-21 21:47:00,-1,9492.0,9507.0,-15.0,3S,1,181,142,1681,9554.0,9522.0,178,2,below,top,9506.0,bottom,9462.0,top,9636.0,,,,
2025-08-22 09:46:00,2025-08-22 10:35:00,1,9574.0,9559.0,-15.0,2B,49,182,143,1698,9602.0,9560.0,181,0,inside,bottom,9560.0,top,9602.0,bottom,9462.0,,,,
2025-08-22 22:06:00,2025-08-25 10:52:00,1,9568.0,9633.142857142857,65.14285714285688,2B,3646,186,147,1727,9588.0,9544.0,185,0,inside,bottom,9544.0,top,9622.0,bottom,9518.0,,,,
2025-08-25 10:52:00,2025-08-25 10:53:00,1,9650.0,9625.0,-25.0,3B,1,188,148,1747,9572.0,9544.0,186,1,above,bottom,9626.0,top,9686.0,bottom,9544.0,,,,
2025-08-26 10:31:00,2025-08-26 10:37:00,-1,9540.0,9549.0,-9.0,3S,6,193,152,1787,9604.0,9574.0,191,1,below,top,9548.0,bottom,9494.0,top,9604.0,,,,
2025-08-26 22:51:00,2025-08-27 13:58:00,1,9496.0,9517.285714285714,21.285714285713766,2B,907,196,155,1819,9532.0,9456.0,195,0,inside,bottom,9456.0,top,9532.0,bottom,9454.0,,,,
2025-08-27 22:21:00,2025-08-28 09:36:00,-1,9524.0,9507.285714285714,16.714285714286234,2S,675,201,160,1862,9540.0,9520.0,200,0,inside,top,9540.0,bottom,9480.0,top,9564.0,,,,
2025-08-28 10:46:00,2025-08-29 09:24:00,-1,9512.0,9379.714285714286,132.28571428571377,2S,1358,203,162,1882,9530.0,9480.0,202,0,inside,top,9530.0,bottom,9458.0,top,9540.0,,,,
2025-08-29 14:26:00,2025-08-29 22:33:00,-1,9302.0,9275.57142857143,26.42857142857065,3S,487,211,167,1941,9378.0,9356.0,209,1,below,top,9320.0,bottom,9276.0,top,9378.0,,,,
2025-09-01 10:11:00,2025-09-01 10:46:00,1,9332.0,9311.0,-21.0,2B,35,214,170,1971,9320.0,9312.0,213,0,inside,bottom,9312.0,top,9386.0,bottom,9240.0,,,,
2025-09-01 22:26:00,2025-09-02 09:03:00,1,9476.0,9457.0,-19.0,3B,637,218,173,2010,9382.0,9324.0,216,1,above,bottom,9458.0,top,9508.0,bottom,9324.0,,,,
2025-09-02 11:16:00,2025-09-02 22:37:00,-1,9428.0,9424.285714285714,3.714285714286234,3S,681,221,175,2032,9494.0,9458.0,219,1,below,top,9454.0,bottom,9384.0,top,9494.0,,,,
2025-09-03 10:31:00,2025-09-03 10:58:00,1,9450.0,9431.0,-19.0,3B,27,226,179,2067,9420.0,9392.0,224,1,above,bottom,9432.0,top,9498.0,bottom,9386.0,,,,
2025-09-03 14:46:00,2025-09-03 22:35:00,-1,9382.0,9358.142857142857,23.857142857143117,3S,469,229,181,2085,9472.0,9432.0,227,1,below,top,9398.0,bottom,9344.0,top,9472.0,,,,
2025-09-04 14:46:00,2025-09-04 21:01:00,1,9418.0,9379.0,-39.0,3B,375,236,187,2133,9370.0,9322.0,234,1,above,bottom,9380.0,top,9450.0,bottom,9322.0,,,,
2025-09-05 09:56:00,2025-09-05 21:01:00,1,9430.0,9494.42857142857,64.42857142857065,2B,665,240,190,2160,9408.0,9378.0,238,1,inside,bottom,9408.0,top,9430.0,bottom,9378.0,,,,
2025-09-08 09:51:00,2025-09-08 14:37:00,-1,9432.0,9431.0,1.0,2S,286,243,192,2207,9452.0,9408.0,242,0,inside,top,9452.0,bottom,9408.0,top,9554.0,,,,
2025-09-08 22:11:00,2025-09-09 10:41:00,1,9444.0,9460.142857142857,16.142857142856883,2B,750,248,196,2240,9428.0,9392.0,246,1,inside,bottom,9428.0,top,9500.0,bottom,9392.0,,,,
2025-09-09 13:56:00,2025-09-10 09:56:00,-1,9482.0,9316.857142857143,165.14285714285688,2S,1200,251,199,2272,9502.0,9430.0,250,0,inside,top,9502.0,bottom,9430.0,top,9506.0,,,,
2025-09-10 10:49:00,2025-09-10 13:31:00,-1,9314.0,9341.0,-27.0,3S,162,253,200,2303,9502.0,9472.0,251,1,below,top,9340.0,bottom,9256.0,top,9502.0,,,,
2025-09-10 21:46:00,2025-09-10 22:56:00,-1,9272.0,9293.0,-21.0,2S,70,255,202,2327,9292.0,9256.0,254,0,inside,top,9292.0,bottom,9244.0,top,9356.0,,,,
2025-09-11 22:56:00,2025-09-12 10:36:00,1,9352.0,9384.0,32.0,3B,700,258,204,2367,9250.0,9244.0,256,1,above,bottom,9336.0,top,9370.0,bottom,9208.0,,,,
2025-09-12 21:26:00,2025-09-12 21:54:00,-1,9320.0,9346.0,-26.0,2S,28,261,207,2405,9344.0,9336.0,260,0,inside,top,9344.0,bottom,9268.0,top,9426.0,,,,
2025-09-15 09:06:00,2025-09-15 22:45:00,1,9354.0,9454.57142857143,100.57142857142935,2B,819,262,208,2417,9376.0,9336.0,261,0,inside,bottom,9336.0,top,9376.0,bottom,9268.0,,,,
2025-09-16 09:56:00,2025-09-16 10:11:00,1,9492.0,9481.0,-11.0,2B,15,268,213,2469,9506.0,9482.0,267,0,inside,bottom,9482.0,top,9528.0,bottom,9452.0,,,,
2025-09-17 14:46:00,2025-09-17 14:54:00,-1,9416.0,9429.0,-13.0,3S,8,275,219,2527,9544.0,9516.0,273,1,below,top,9428.0,bottom,9412.0,top,9570.0,,,,
2025-09-18 09:06:00,2025-09-18 11:19:00,-1,9358.0,9322.0,36.0,3S,133,277,220,2549,9432.0,9412.0,275,1,below,top,9392.0,bottom,9358.0,top,9432.0,,,,
2025-09-18 13:46:00,2025-09-18 21:01:00,-1,9300.0,9318.0,-18.0,3S,435,279,221,2567,9392.0,9358.0,277,1,below,top,9312.0,bottom,9286.0,top,9392.0,,,,
2025-09-19 09:11:00,2025-09-19 09:50:00,1,9348.0,9346.142857142857,-1.857142857143117,3B,39,282,223,2593,9312.0,9286.0,280,1,above,bottom,9326.0,top,9362.0,bottom,9280.0,,,,
2025-09-19 14:28:00,2025-09-22 09:20:00,-1,9326.0,9300.0,26.0,2S,4012,287,227,2617,9370.0,9336.0,285,1,inside,top,9336.0,bottom,9306.0,top,9370.0,,,,
2025-09-22 11:06:00,2025-09-22 14:56:00,1,9344.0,9359.0,15.0,2B,230,292,232,2652,9330.0,9324.0,291,0,inside,bottom,9324.0,top,9350.0,bottom,9252.0,,,,
2025-09-23 13:51:00,2025-09-23 14:10:00,-1,8962.0,8977.0,-15.0,3S,19,295,234,2699,9350.0,9324.0,293,1,below,top,8976.0,bottom,8946.0,top,9400.0,,,,
2025-09-23 21:51:00,2025-09-24 09:03:00,1,9060.0,9040.0,-20.0,2B,672,296,235,2716,9090.0,9042.0,295,0,inside,bottom,9042.0,top,9090.0,bottom,8946.0,,,,
2025-09-24 22:01:00,2025-09-25 09:06:00,1,9170.0,9218.142857142857,48.14285714285688,3B,665,300,238,2765,9074.0,9042.0,298,1,above,bottom,9154.0,top,9244.0,bottom,9014.0,,,,
2025-09-25 14:41:00,2025-09-25 21:01:00,-1,9220.0,9246.0,-26.0,2S,380,305,243,2791,9240.0,9218.0,304,0,inside,top,9240.0,bottom,9218.0,top,9250.0,,,,
2025-09-26 10:11:00,2025-09-26 10:44:00,1,9296.0,9273.0,-23.0,2B,33,310,248,2820,9282.0,9274.0,309,0,inside,bottom,9274.0,top,9318.0,bottom,9238.0,,,,
2025-09-26 11:16:00,2025-09-26 22:12:00,-1,9280.0,9264.57142857143,15.428571428570649,2S,656,311,249,2829,9304.0,9264.0,310,0,inside,top,9304.0,bottom,9264.0,top,9318.0,,,,
2025-09-26 22:26:00,2025-09-26 23:00:00,-1,9260.0,9277.0,-17.0,2S,34,313,251,2853,9276.0,9264.0,312,0,inside,top,9276.0,bottom,9224.0,top,9304.0,,,,
2025-09-29 11:16:00,2025-09-29 13:31:00,-1,9238.0,9257.0,-19.0,2S,135,315,253,2876,9256.0,9224.0,314,0,inside,top,9256.0,bottom,9206.0,top,9280.0,,,,
2025-09-29 14:51:00,2025-09-29 22:06:00,-1,9220.0,9216.142857142857,3.857142857143117,2S,435,317,255,2891,9240.0,9224.0,316,0,inside,top,9240.0,bottom,9224.0,top,9262.0,,,,
2025-09-30 09:26:00,2025-09-30 10:37:00,1,9190.0,9177.0,-13.0,2B,71,320,258,2909,9234.0,9178.0,319,0,inside,bottom,9178.0,top,9234.0,bottom,9172.0,,,,
2025-09-30 10:37:00,2025-09-30 15:00:00,-1,9182.0,9223.0,-41.0,2S,263,322,260,2918,9222.0,9180.0,321,0,inside,bottom,9180.0,top,9222.0,bottom,9178.0,,,,
2025-10-09 13:31:00,2025-10-10 10:31:00,1,9554.0,9563.857142857143,9.857142857143117,3B,1260,324,261,2957,9202.0,9178.0,322,1,above,bottom,9536.0,top,9580.0,bottom,9150.0,,,,
2025-10-10 14:21:00,2025-10-10 22:53:00,-1,9438.0,9416.857142857143,21.142857142856883,3S,512,329,265,2999,9576.0,9566.0,327,1,below,top,9462.0,bottom,9366.0,top,9608.0,,,,
